primary_key	SOFTREQ (foreign key)
OpenLIFU-app#41	SlicerOpenLIFU#393
OpenLIFU-app#45	SlicerOpenLIFU#20
OpenLIFU-python#258	OpenLIFU-python#71
OpenLIFU-python#302	SlicerOpenLIFU#13
OpenLIFU-python#333	SlicerOpenLIFU#34
OpenLIFU-python#334	SlicerOpenLIFU#38
OpenLIFU-python#339	OpenLIFU-python#71
OpenLIFU-python#340	SlicerOpenLIFU#33
OpenLIFU-python#347	SlicerOpenLIFU#12
SlicerOpenLIFU#190	SlicerOpenLIFU#12
SlicerOpenLIFU#195	OpenLIFU-python#62
SlicerOpenLIFU#244	OpenLIFU-python#65
SlicerOpenLIFU#272	OpenLIFU-python#65
SlicerOpenLIFU#339	SlicerOpenLIFU#393
SlicerOpenLIFU#344	SlicerOpenLIFU#393
SlicerOpenLIFU#347	SlicerOpenLIFU#12
SlicerOpenLIFU#357	SlicerOpenLIFU#32
SlicerOpenLIFU#358	SlicerOpenLIFU#33
SlicerOpenLIFU#361	SlicerOpenLIFU#35
SlicerOpenLIFU#362	SlicerOpenLIFU#35
SlicerOpenLIFU#363	SlicerOpenLIFU#14
SlicerOpenLIFU#366	SlicerOpenLIFU#35
SlicerOpenLIFU#367	SlicerOpenLIFU#35
SlicerOpenLIFU#369	OpenLIFU-python#56
SlicerOpenLIFU#379	SlicerOpenLIFU#34
SlicerOpenLIFU#383	SlicerOpenLIFU#35
SlicerOpenLIFU#387	SlicerOpenLIFU#20
SlicerOpenLIFU#388	SlicerOpenLIFU#393
SlicerOpenLIFU#389	SlicerOpenLIFU#34
SlicerOpenLIFU#399	OpenLIFU-python#62
SlicerOpenLIFU#403	OpenLIFU-python#54
SlicerOpenLIFU#406	SlicerOpenLIFU#393
SlicerOpenLIFU#407	OpenLIFU-python#54
SlicerOpenLIFU#410	SlicerOpenLIFU#393
SlicerOpenLIFU#98	SlicerOpenLIFU#38
