primary_key	SOFTREQ (foreign key)
SlicerOpenLIFU#152	OpenLIFU-python#65
SlicerOpenLIFU#153	SlicerOpenLIFU#32
SlicerOpenLIFU#156	OpenLIFU-python#73
SlicerOpenLIFU#157	OpenLIFU-python#65
SlicerOpenLIFU#160	SlicerOpenLIFU#34
SlicerOpenLIFU#164	SlicerOpenLIFU#12
SlicerOpenLIFU#165	SlicerOpenLIFU#12
SlicerOpenLIFU#169	SlicerOpenLIFU#12
SlicerOpenLIFU#171	SlicerOpenLIFU#14
SlicerOpenLIFU#172	SlicerOpenLIFU#10
SlicerOpenLIFU#173	SlicerOpenLIFU#10
SlicerOpenLIFU#174	SlicerOpenLIFU#392
SlicerOpenLIFU#175	SlicerOpenLIFU#392
SlicerOpenLIFU#181	OpenLIFU-python#54
SlicerOpenLIFU#183	OpenLIFU-python#337
SlicerOpenLIFU#186	SlicerOpenLIFU#34
SlicerOpenLIFU#196	OpenLIFU-python#65
SlicerOpenLIFU#197	SlicerOpenLIFU#10
SlicerOpenLIFU#199	OpenLIFU-python#66
SlicerOpenLIFU#200	OpenLIFU-python#65
SlicerOpenLIFU#201	OpenLIFU-python#65
SlicerOpenLIFU#202	OpenLIFU-python#66
SlicerOpenLIFU#203	OpenLIFU-python#66
SlicerOpenLIFU#206	SlicerOpenLIFU#37
SlicerOpenLIFU#208	SlicerOpenLIFU#30
SlicerOpenLIFU#211	OpenLIFU-python#65
SlicerOpenLIFU#215	OpenLIFU-python#337
SlicerOpenLIFU#217	SlicerOpenLIFU#10
SlicerOpenLIFU#219	OpenLIFU-python#65
SlicerOpenLIFU#220	OpenLIFU-python#65
SlicerOpenLIFU#222	SlicerOpenLIFU#35
SlicerOpenLIFU#224	SlicerOpenLIFU#34
SlicerOpenLIFU#229	SlicerOpenLIFU#6
SlicerOpenLIFU#231	OpenLIFU-python#337
SlicerOpenLIFU#237	SlicerOpenLIFU#10
SlicerOpenLIFU#241	SlicerOpenLIFU#393
SlicerOpenLIFU#243	OpenLIFU-python#65
SlicerOpenLIFU#245	SlicerOpenLIFU#12
SlicerOpenLIFU#248	SlicerOpenLIFU#38
SlicerOpenLIFU#251	SlicerOpenLIFU#393
SlicerOpenLIFU#252	SlicerOpenLIFU#29
SlicerOpenLIFU#253	OpenLIFU-python#65
SlicerOpenLIFU#254	SlicerOpenLIFU#12
SlicerOpenLIFU#257	SlicerOpenLIFU#33
SlicerOpenLIFU#258	SlicerOpenLIFU#35
SlicerOpenLIFU#259	SlicerOpenLIFU#35
SlicerOpenLIFU#260	SlicerOpenLIFU#39
SlicerOpenLIFU#261	SlicerOpenLIFU#39
SlicerOpenLIFU#262	SlicerOpenLIFU#8
SlicerOpenLIFU#263	SlicerOpenLIFU#393
SlicerOpenLIFU#264	SlicerOpenLIFU#34
SlicerOpenLIFU#265	OpenLIFU-python#76
SlicerOpenLIFU#266	OpenLIFU-python#337
SlicerOpenLIFU#268	OpenLIFU-python#64
SlicerOpenLIFU#269	SlicerOpenLIFU#35
SlicerOpenLIFU#275	SlicerOpenLIFU#34
SlicerOpenLIFU#277	SlicerOpenLIFU#34
SlicerOpenLIFU#280	OpenLIFU-python#338
SlicerOpenLIFU#282	SlicerOpenLIFU#12
SlicerOpenLIFU#285	OpenLIFU-python#338
SlicerOpenLIFU#289	OpenLIFU-python#65
SlicerOpenLIFU#3	OpenLIFU-python#337
SlicerOpenLIFU#308	OpenLIFU-python#54
SlicerOpenLIFU#313	SlicerOpenLIFU#394
SlicerOpenLIFU#317	SlicerOpenLIFU#36
SlicerOpenLIFU#318	SlicerOpenLIFU#36
SlicerOpenLIFU#320	OpenLIFU-python#64
SlicerOpenLIFU#322	SlicerOpenLIFU#35
SlicerOpenLIFU#324	SlicerOpenLIFU#13
SlicerOpenLIFU#325	OpenLIFU-python#66
SlicerOpenLIFU#326	OpenLIFU-python#65
SlicerOpenLIFU#334	SlicerOpenLIFU#13
SlicerOpenLIFU#338	SlicerOpenLIFU#10
SlicerOpenLIFU#340	SlicerOpenLIFU#10
SlicerOpenLIFU#341	SlicerOpenLIFU#392
SlicerOpenLIFU#345	SlicerOpenLIFU#393
SlicerOpenLIFU#354	SlicerOpenLIFU#392
SlicerOpenLIFU#356	SlicerOpenLIFU#394
SlicerOpenLIFU#365	SlicerOpenLIFU#34
SlicerOpenLIFU#380	SlicerOpenLIFU#33
SlicerOpenLIFU#4	OpenLIFU-python#57
SlicerOpenLIFU#55	OpenLIFU-python#337
SlicerOpenLIFU#56	OpenLIFU-python#337
SlicerOpenLIFU#57	SlicerOpenLIFU#19
SlicerOpenLIFU#58	SlicerOpenLIFU#9
SlicerOpenLIFU#59	SlicerOpenLIFU#18
SlicerOpenLIFU#60	SlicerOpenLIFU#36
SlicerOpenLIFU#61	OpenLIFU-python#71
SlicerOpenLIFU#62	SlicerOpenLIFU#40
SlicerOpenLIFU#68	SlicerOpenLIFU#394
SlicerOpenLIFU#72	SlicerOpenLIFU#18
SlicerOpenLIFU#73	SlicerOpenLIFU#19
SlicerOpenLIFU#75	SlicerOpenLIFU#17
SlicerOpenLIFU#76	SlicerOpenLIFU#18
SlicerOpenLIFU#77	OpenLIFU-python#57
SlicerOpenLIFU#78	SlicerOpenLIFU#393
SlicerOpenLIFU#79	SlicerOpenLIFU#16
SlicerOpenLIFU#80	OpenLIFU-python#57
SlicerOpenLIFU#81	SlicerOpenLIFU#26
SlicerOpenLIFU#82	SlicerOpenLIFU#29
SlicerOpenLIFU#83	SlicerOpenLIFU#29
SlicerOpenLIFU#84	SlicerOpenLIFU#31
SlicerOpenLIFU#86	OpenLIFU-python#77
SlicerOpenLIFU#87	SlicerOpenLIFU#40
SlicerOpenLIFU#89	SlicerOpenLIFU#29
SlicerOpenLIFU#94	OpenLIFU-python#54
SlicerOpenLIFU#95	OpenLIFU-python#59
SlicerOpenLIFU#96	SlicerOpenLIFU#38
SlicerOpenLIFU#97	SlicerOpenLIFU#38
SlicerOpenLIFU#98	SlicerOpenLIFU#38
